SETTD,PROFILEAREA,DAILYT,VAL01,VAL02,VAL03,VAL04,VAL05,VAL06,VAL07,VAL08,VAL09,VAL10,VAL11,VAL12,VAL13,VAL14,VAL15,VAL16,VAL17,VAL18,VAL19,VAL20,VAL21,VAL22,VAL23,VAL24,VAL25,VAL26,VAL27,VAL28,VAL29,VAL30,VAL31,VAL32,VAL33,VAL34,VAL35,VAL36,VAL37,VAL38,VAL39,VAL40,VAL41,VAL42,VAL43,VAL44,VAL45,VAL46,VAL47,VAL48,DCTC
01/04/2015,CITIPOWER,5241951.937,78134.705,70166.465,64969.528,61882.408,60136.74,58987.256,58590.542,58798.151,60393.808,64263.939,73195.281,85822.914,104114.652,117068.644,117029.547,120619.336,124342.612,126138.734,128820.429,129684.746,130955.565,132509.383,133168.647,134353.661,136115.201,137049.246,138907.921,138313.001,137576.726,135807.332,135588.685,134609.503,132746.965,130341.091,127771.244,128696.287,129718.094,131182.8,128797.463,125432.436,120825.86,115141.469,107532.89,98439.905,94038.57,94074.546,96645.377,92451.632,MRIM
02/04/2015,CITIPOWER,4951555.04,80592.74,72490.746,67239.559,63596.88,61971.771,60581.342,59874.402,59784.605,61072.236,64742.445,73170.391,85177.716,102998.32,116751.495,117172.75,120634.374,123853.193,125568.945,126961.627,126801.047,127213.921,126477.204,126337.292,125661.518,124707.702,123711.125,122306.056,121179.82,119483.087,117905.497,117155.563,116350.934,115375.003,114279.802,113301.375,114707.972,116842.383,119251.299,117192.475,114623.449,110260.946,105994.328,100453.254,93869.231,92196.398,93808.77,96831.121,93040.931,MRIM
03/04/2015,CITIPOWER,4048837.83,81737.073,73651.217,67897.952,64102.825,62236.743,60644.502,59615.326,59178.557,59621.257,60617.966,63373.587,66421.968,72565.429,78774.258,82396.311,87644.179,91555.116,93715.479,95270.659,95849.535,95450.553,95058.683,93815.763,92209.041,90378.384,88427.008,87373.689,86167.082,85420.468,85106.048,86002.79,87413.941,89968.08,92809.549,94824.832,97256.69,99918.105,102977.563,101465.733,99452.806,96586.648,93561.197,89555.055,84732.76,84695.642,88024.488,92889.673,90425.62,MRIM
04/04/2015,CITIPOWER,3957731.328,80167.365,72316.493,66549.492,62840.728,60532.622,59067.056,58320.496,57747.917,57971.33,58762.603,61048.2,63699.001,68663.521,74272.82,77182.754,82441.579,86894.54,89447.407,91590.117,91547.602,90586.203,89461.02,89255.44,88370.574,89298.146,88016.718,86651.291,84832.482,83955.744,84930.849,86098.65,88787.941,89703.179,91393.72,93342.65,95976.799,98715.993,101564.589,99986.615,97896.695,95352.985,92732.543,89089.505,84372.981,85008.13,88437.206,92801.896,90047.141,MRIM
05/04/2015,CITIPOWER,3921021.348,79633.996,71915.761,66295.479,62320.504,60202.977,58524.908,57621.486,56823.18,56450.964,56525.899,57199.991,58153.136,60734.463,64567.529,67424.182,72537.61,78599.112,82768.241,86310.394,87607.707,88675.356,88096.16,86750.019,85744.591,86278.084,84619.009,83866.239,84176.831,82860.158,82250.485,82878.834,84878.306,86669.181,90715.271,94795.1,100320.031,105616.23,108057.542,106453.095,103825.004,101186.329,98344.404,95031.767,91107.612,90993.395,93578.083,97244.758,93791.955,MRIM
06/04/2015,CITIPOWER,4294193.314,82672.884,74268.13,68191.338,63837.818,61247.483,59420.828,58210.206,57465.461,57381.636,57424.141,58675.729,60288.567,63918.746,67627.88,70314.234,75694.489,82176.155,86241.712,90049.89,92454.906,94391.379,95466.52,96737.071,95979.031,96590.856,95820.811,95464.098,95061.645,93986.693,93050.228,92826.933,93607.274,95941.837,99702.506,105326.27,113924.566,122937.264,128534.316,127290.079,124306.692,119906.858,115748.436,110638.996,103985.572,100824.239,100172.872,101485.026,96923.013,MRIM
07/04/2015,CITIPOWER,5570188.536,85412.94,76010.954,69319.158,64664.831,61984.767,60028.293,59217.546,58558.056,58718.006,59098.706,61977.226,66631.192,76693.875,91466.068,102881.661,114170.821,122277.466,127159.24,130966.284,132541.244,134039.779,134258.316,134358.947,134838.057,136206.808,138171.484,142191.122,143181.864,142161.061,141109.263,143341.776,143566.903,141666.922,143144.501,146748.826,151935.775,158823.901,162407.762,159344.029,153736.708,147900.342,142039.026,134999.315,125367.465,118787.798,114856.907,113805.752,107419.793,MRIM
08/04/2015,CITIPOWER,5454057.928,94308.391,83393.503,75652.683,70349.382,67145.293,65063.31,63756.408,63087.889,63151.939,63672.644,66471.829,71526.926,82625.95,98380.211,109658.83,120036.38,126408.405,130831.448,135681.028,138197.068,138055.264,134683.442,134614.635,133286.623,134819.517,136951.414,135509.11,133026.433,128960.398,126909.807,125131.239,124715.437,124580.779,126027.383,128317.708,133202.182,144023.124,150741.344,148619.18,144861.762,140335.652,135446.95,129278.117,121585.935,116904.778,113979.706,113150.644,106939.848,MRIM
09/04/2015,CITIPOWER,5410508.097,93701.446,82985.681,74963.826,69801.344,66875.734,64681.117,63486.775,62689.976,62900.406,63573.977,66694.201,72077.85,83564.842,99338.706,111509.384,123469.999,128649.419,130114.08,131356.096,130593.453,131039.758,130744.486,131864.778,133112.969,133545.737,131975.477,132379.029,131063.74,129688.328,127406.939,126141.543,124854.55,124397.099,125425.653,126853.554,131139.763,140402.705,147712.622,146023.888,142591.941,138381.783,134104.177,128421.472,121571.404,117525.484,115270.352,115096.209,108744.345,MRIM
10/04/2015,CITIPOWER,5258189.159,94888.576,83657.697,76069.539,70512.531,67274.169,65254.647,64015.14,63249.626,63161.374,64016.342,67128.625,72227.823,83386.418,98506.421,110419.045,121447.878,127456.148,129453.186,130865.694,130318.655,130023.754,129001.315,128425.822,127343.511,126976.844,126187.935,125732.339,124814.867,124114.519,123182.566,122285.344,121564.706,121352.391,122319.278,123048.985,126267.181,133516.654,137932.761,135034.813,131532.636,127115.532,123076.166,118696.33,114171.446,112771.219,113713.346,114898.57,109778.795,MRIM
