PROFILEAREA,SETTD,VAL01,VAL02,VAL03,VAL04,VAL05,VAL06,VAL07,VAL08,VAL09,VAL10,VAL11,VAL12,VAL13,VAL14,VAL15,VAL16,VAL17,VAL18,VAL19,VAL20,VAL21,VAL22,VAL23,VAL24,VAL25,VAL26,VAL27,VAL28,VAL29,VAL30,VAL31,VAL32,VAL33,VAL34,VAL35,VAL36,VAL37,VAL38,VAL39,VAL40,VAL41,VAL42,VAL43,VAL44,VAL45,VAL46,VAL47,VAL48,DCTC
CITIPOWER,12/07/2011,17043.385,15626.4,17466.377,16200.529,15311.208,14787.98,13946.611,13409.335,13169.993,13136.34,13716.152,14718.766,17220.427,20277.257,23212.178,25873.162,27510.145,28068.386,28418.997,28072.147,28194.652,28015.438,27983.875,27668.77,27468.47,27645.153,27919.157,27561.934,27571.733,27131.631,27007.147,27051.261,26998.506,27409.959,28106.866,29288.869,29780.024,29715.073,29161.332,28724.097,27708.154,26962.491,26084.898,24603.97,23152.738,21373.738,20312.308,18606.827,MRIM
CITIPOWER,13/07/2011,17516.557,16084.879,17859.764,16586.985,15571.565,14804.677,14054.611,13582.292,13323.342,13340.572,13867.131,14898.054,17309.947,20255.92,23645.613,26406.287,27624.698,27868.865,28531.456,29006.96,29054.928,28271.652,27536.968,26896.092,27181.566,27294.188,27694.472,27145.629,26672.204,26489.249,26422.789,26620.617,27071.327,28019.848,28926.271,30364.776,30783.952,30849.644,30407.526,29918.619,29195.592,28482.448,27580.635,26204.675,24895.519,23215.857,21889.747,20086.645,MRIM
CITIPOWER,14/07/2011,18813.48,17264.173,18873.807,17458.223,16465.986,15646.392,14880.247,14420.418,14169.664,14103.359,14746.447,15826.583,18437.832,21599.119,24795.873,27635.597,29461.577,29876.833,30182.481,29924.615,29800.586,29124.985,29303.077,29516.777,28177.39,27607.066,27532.737,26695.535,26252.014,25906.9,25840.957,25808.233,25806.102,26498.333,27843.847,29988.091,30850.92,31293.776,30834.292,30259.53,29715.987,29135.396,28257.808,27134.836,25914.506,24511.017,23442.073,21350.307,MRIM
CITIPOWER,15/07/2011,20128.497,18339.433,19834.073,18149.612,16994.982,16169.37,15404.861,14847.037,14608.026,14707.248,15379.136,16435.154,19174.649,22346.083,25632.66,28606.719,30442.441,31284.13,31952.312,31711.396,31609.903,30918.056,29785.036,28745.701,27897.752,27250.421,27153.858,26559.373,26397.24,26394.78,26202.963,26174.417,26278.175,27243.089,28719.87,30859.968,31569.159,31556.976,30911.023,30363.901,29788.453,29146.26,28255.955,27364.249,26579.82,25926.422,25428.867,23682.784,MRIM
CITIPOWER,16/07/2011,22107.27,20136.751,21491.471,19825.941,18564.343,17510.275,16658.086,16034.668,15692.458,15574.228,15780.241,16099.433,16899.438,17878.504,18637.672,20649.686,22862.183,24386.49,25579.119,25773.022,26040.225,25992.739,25029.703,23895.69,23173.361,22726.379,22725.538,22885.3,22864.333,22702.791,22776.503,23300.946,23135.703,24129.228,26463.261,28928.645,30054.227,29989.056,29418.552,28551.684,27810.808,27190.428,26294.896,25438.447,24892.13,24302.706,24139.578,22891.887,MRIM
CITIPOWER,17/07/2011,21308.339,19713.039,20971.342,19098.3,17810.872,16795.284,15832.311,15055.975,14545.138,14276.713,14265.199,14387.735,14903.653,15375.976,15764.439,17039.359,18506.906,19511.355,20340.092,20712.041,21364.778,21350.669,21713.386,22377.806,22513.176,21829.255,22086.4,22006.706,22509.742,22645.669,22868.448,23445.814,24195.089,25990.846,28248.02,29932.156,30951.554,30658.393,30065.959,29604.595,29120.551,28467.033,27360.004,25970.824,24722.821,23204.861,22186.71,20361.101,MRIM
CITIPOWER,18/07/2011,18621.499,17014.072,18645.164,17283.22,16382.332,15652.235,14871.836,14345.025,14071.463,14043.093,14716.513,15843.103,18582.74,22262.675,25864.517,29192.207,30639.155,30899.969,31057.086,30940.588,31057.904,31250.295,31379.747,31275.258,30641.721,30302.855,30080.445,29329.994,29290.705,29138.438,29143.387,29251.791,29661.506,30339.068,31532.733,33525.08,34410.121,34775.77,34313.037,33384.703,32541.7,31580.663,30224.994,28257.013,26189.325,24210.094,22697.483,20638.82,MRIM
CITIPOWER,19/07/2011,19119.222,17417.035,19039.4,17694.354,16675.547,16029.234,15072.769,14566.418,14375.262,14429.008,15070.765,16300.025,19229.036,23147.256,26866.826,29781.721,30642.824,30331.659,30144.433,29921.205,29751.157,29010.438,28486.732,28114.291,27980.529,27761.715,27696.553,27239.288,26909.35,26983.778,26934.241,27099.336,27555.767,28711.613,30541.567,33015.978,33977.045,34350.682,33785.272,32958.967,32093.779,31142.204,29874.14,28245.08,26417.54,24515.644,23214.742,21192.133,MRIM
CITIPOWER,20/07/2011,19673.863,17941.482,19356.688,17911.813,16829.032,15982.087,15156.642,14670.547,14534.203,14622.784,15275.188,16575.455,19503.967,23552.214,27300.251,30077.235,30904.206,30636.931,30905.522,30936.563,30916.571,30779.388,31019.2,30799.599,30783.668,30659.61,30773.308,30577.501,30221.392,29968.517,29540.786,29686.599,30305.026,31043.604,32383.124,34815.983,36242.697,36565.254,35740.769,35128.961,34378.176,33465.279,32408.354,30731.134,29133.833,26977.158,25485.862,23222.387,MRIM
CITIPOWER,21/07/2011,21667.523,19841.013,21150.272,19503.252,18332.034,17386.968,16640.08,16028.237,15684.275,15789.785,16532.693,17885.007,21003.947,25088.199,29282.933,32443.505,33072.351,32517.079,32637.869,32220.169,32017.366,31834.865,31638.883,31765.866,32094.285,32234.202,31931.229,31226.466,31142.205,30510.361,30231.43,30143.897,30475.172,31319.991,33134.62,35667.083,37038.867,37584.717,36942.307,36250.729,35314.957,34610.331,33547.972,31859.21,30096.671,28192.119,26591.595,24254.812,MRIM
