SETTD,PROFILEAREA,DAILYT,VAL01,VAL02,VAL03,VAL04,VAL05,VAL06,VAL07,VAL08,VAL09,VAL10,VAL11,VAL12,VAL13,VAL14,VAL15,VAL16,VAL17,VAL18,VAL19,VAL20,VAL21,VAL22,VAL23,VAL24,VAL25,VAL26,VAL27,VAL28,VAL29,VAL30,VAL31,VAL32,VAL33,VAL34,VAL35,VAL36,VAL37,VAL38,VAL39,VAL40,VAL41,VAL42,VAL43,VAL44,VAL45,VAL46,VAL47,VAL48,DCTC
01/10/2014,CITIPOWER,5569370.292,96988.299,86080.894,78098.532,72485.222,69257.923,66783.726,65650.55,64888.552,64880.147,65726.708,68706.986,74734.529,87314.065,103723.819,114588.957,124665.452,129957.404,131547.862,132708.881,132864.992,133670.473,132369.654,131732.051,129770.74,130378.952,131336.774,129283.356,129747.689,127989.374,131421.458,130161.645,128053.316,130062.911,132371.939,132647.252,135171.214,140739.82,151331.943,153820.309,151477.39,147769.712,143714.297,138813.65,131389.469,126175.993,122275.594,120294.599,113745.218,MRIM
02/10/2014,CITIPOWER,5704628.589,100560.561,89483.657,80826.944,74716.842,70777.365,68198.008,66776.427,65587.061,65409.668,66091.687,69002.986,74626.999,86873.889,102301.109,114252.293,127017.846,134389.339,137656.891,141924.393,143298.474,145205.76,144604.226,144421.884,142655.57,142418.032,141409.631,140223.832,137550.447,134370.779,133078.625,131933.373,130078.379,128552.904,128912.615,130346.623,134344.875,141892.455,151386.311,153627.308,150582.384,146490.42,142170.839,136942.444,130325.302,125353.881,122222.795,120288.896,113465.56,MRIM
03/10/2014,CITIPOWER,5399242.87,100067.673,88905.551,80473.81,74302.719,70192.18,67426.939,65957.698,65078.54,64751.481,65156.139,67990.285,73519.589,85106.664,99980.609,110382.24,122241.194,132554.061,138069.689,141700.243,141585.029,139389.857,137784.921,137227.613,135413.878,132753.094,130008.306,128695.924,127079.082,125296.226,123682.926,122507.478,121429.954,120646.68,121005.333,121135.175,121870.378,125531.057,134075.833,135660.111,133785.717,130514.685,127013.52,123322.561,118746.471,117241.705,117868.262,119758.931,114354.859,MRIM
04/10/2014,CITIPOWER,4458804.071,101896.715,91161.85,82559.365,75993.888,71852.634,68916.297,67084.261,65633.019,65040.202,64975.191,65711.526,67514.35,71385.269,76212.878,78153.634,83804.947,89926.754,94270.579,98716.7,101318.816,103175.625,102705.007,102359.842,101149.591,100341.76,99188.906,98414.624,97114.239,96293.869,95475.352,94988.483,95112.503,96015.757,97549.488,99386.47,102232.639,107016.798,114506.96,116941.104,114310.611,110888.875,107981.475,104341.808,100620.354,101138.584,103979.244,108263.521,105181.707,MRIM
05/10/2014,CITIPOWER,4278603.826,93724.959,84042.256,76188.79,70316.754,66360.613,63333.141,61221.919,59918.157,59274.456,59227.694,60135.131,61719.185,64397.268,68450.177,70640.799,75649.468,81951.579,86537.584,90531.831,92830.924,94567.619,95307.133,96338.557,95497.318,93659.964,92065.581,91272.293,90477.378,89740.771,89503.35,90265.165,92027.934,94690.744,98440.789,103560.342,109181.039,114747.788,122359.135,125807.048,125012.049,121027.154,116485.95,108868.705,99301.76,94337.357,94345.369,98113.895,95148.954,MRIM
06/10/2014,CITIPOWER,5496053.842,84942.335,76659.238,70292.211,65874.916,63176.845,61319.62,60659.409,60482.402,62198.074,66385.697,76414.139,90962.303,112161.274,129027.073,127913.267,132210.245,137501.073,139844.678,142405.746,143850.006,144876.676,144163.095,144901.655,143545.705,141539.414,139789.281,138463.958,136450.959,134069.154,132695.269,133070.072,133136.706,133638.603,135000.345,137870.449,140252.11,140216.307,140008.168,136813.231,132537.233,126744.482,118976.743,108761.527,98323.007,92951.892,93004.354,96244.011,93728.885,MRIM
07/10/2014,CITIPOWER,5371594.128,83589.436,75525.146,69542.898,65319.331,62894.621,61518.975,61375.639,61294.264,63246.394,67603.382,78234.352,94074.466,114943.913,128399.006,126559.879,128393.984,128774.796,129909.58,131394.926,133479.277,130983.901,132484.144,132709.161,130641.429,131029.328,128452.261,129320.377,129044.075,123983.521,124376.283,126584.629,127976.726,125776.553,127988.189,129369.179,131319.75,134114.193,140840.973,142385.256,140332.061,135488.327,128979.456,119120.634,106399.796,99366.062,98457.84,100789.039,97206.72,MRIM
08/10/2014,CITIPOWER,5477904.426,86886.573,78554.081,72474.602,68437.202,66173.793,64435.295,64151.823,64232.103,66539.001,71307.679,83040.388,99764.822,122451.746,136599.828,131765.966,131359.634,131018.58,131622.632,134531.841,135324.885,136882.528,136222.818,136758.251,134398.489,133384.305,133207.892,132739.064,129387.722,129093.153,127263.302,126241.852,127412.526,128455.272,129036.49,129927.842,133961.734,135848.195,139810.332,140987.501,138578.786,133350.81,126680.718,117761.976,106065.55,99267.701,97773.75,100016.828,96716.565,MRIM
09/10/2014,CITIPOWER,5195589.87,86253.486,77811.849,71658.777,67533.415,65072.213,63462.323,62967.807,63175.651,65364.792,70131.656,81450.049,97690.624,119079.637,133135.286,128803.525,127868.668,129023.481,128724.715,128860.694,128046.443,127966.335,127692.762,126691.054,125845.927,125468.423,124486.956,123700.498,122925.959,122030.419,120596.326,120162.985,121135.62,120939.246,119887.721,120433.71,120772.289,122657.526,127823.917,128269.019,126496.424,122563.508,117131.919,108825.487,98970.512,93491.397,93339.993,95997.425,93171.422,MRIM
10/10/2014,CITIPOWER,5062591.745,82486.322,74409.961,68469.529,64640.98,62338.304,60755.763,60088.993,60136.308,62005.783,66403.785,76196.916,91159.253,110767.459,123975.908,120618.421,120939.753,123573.682,125807.963,128043.589,129711.306,130416.39,130093.388,130446.195,129731.654,128298.758,128343.747,127901.543,126528.249,122627.238,122112.824,120433.691,120358.512,119487.566,118744.306,117207.566,115127.485,113470.731,116496.386,117318.51,115367.359,111652.174,107676.483,102018.278,95924.448,93558.173,94934.159,98493.923,95292.031,MRIM
