Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
21.1,18.3,20.1,20.5,22.9,15.4,14.9,15.2,12.1,22.7,29.0,31.2
18.2,20.4,22.7,17.8,23.1,15.5,13.8,17.4,12.8,28.8,18.4,16.3
20.9,21.0,20.1,18.2,17.5,15.7,13.7,12.1,13.7,15.6,15.8,16.7
20.7,21.7,19.1,18.2,16.1,13.4,15.3,13.6,15.5,12.8,18.6,17.5
31.2,20.9,19.5,18.4,18.1,15.5,13.4,18.3,20.6,14.7,19.1,25.8
40.8,22.9,19.2,18.7,19.1,17.5,13.1,11.8,15.9,16.6,17.0,36.8
21.0,24.4,21.6,22.1,19.2,17.1,13.3,13.7,14.2,21.9,13.2,34.1
21.3,22.2,22.7,27.3,16.2,16.4,14.3,12.8,16.6,20.2,15.0,16.1
20.3,24.4,23.4,23.8,17.9,16.4,13.2,16.3,15.4,13.0,18.5,18.3
20.5,30.2,31.3,31.5,13.1,16.8,12.2,15.4,18.3,12.9,16.6,19.7
29.8,20.3,19.0,18.2,13.5,16.4,9.9,11.4,25.3,15.0,17.1,21.9
29.8,20.8,18.8,17.4,13.8,15.0,12.1,13.5,14.1,18.5,29.2,29.4
18.4,23.4,19.1,21.8,14.0,13.7,13.5,14.0,17.3,26.0,20.1,16.3
19.3,18.2,18.4,15.6,14.6,12.7,13.9,17.4,23.5,24.7,17.0,16.8
19.2,19.4,18.7,16.5,14.1,12.7,14.7,13.6,11.0,20.0,17.7,18.7
21.6,18.9,21.3,16.2,13.9,12.0,14.7,13.8,14.1,22.2,17.0,22.5
27.7,22.2,33.8,15.1,14.9,12.0,14.6,14.9,18.7,15.8,17.8,18.4
37.9,20.0,17.9,16.4,15.7,12.4,13.8,11.5,15.8,15.0,25.1,18.6
24.7,19.1,19.7,20.7,15.1,11.9,11.5,11.2,13.2,25.4,34.0,19.9
18.9,20.8,17.0,23.9,15.9,13.2,12.4,13.1,14.4,15.5,15.1,17.6
20.3,20.1,19.1,22.4,15.5,13.6,13.6,13.0,15.3,17.6,20.0,16.1
20.7,22.8,21.0,19.2,14.8,15.2,15.8,16.0,15.6,26.1,13.2,19.2
22.1,23.1,31.9,19.5,15.0,12.8,13.5,18.2,13.3,14.9,14.3,23.1
23.0,18.7,21.5,19.3,15.4,11.6,13.4,16.5,12.1,15.8,16.1,32.6
22.3,18.4,19.2,18.0,16.2,13.6,14.7,14.5,13.6,17.6,16.1,20.6
22.2,21.2,16.4,17.4,16.2,14.2,15.6,13.8,15.9,16.6,18.0,23.0
28.4,33.5,21.0,17.8,19.2,13.5,18.7,13.3,15.4,16.8,15.8,25.0
37.3,19.7,17.9,17.6,20.6,14.1,14.8,12.3,13.3,16.2,15.4,23.0
19.9,,20.8,17.4,14.3,13.4,12.2,14.2,13.1,16.6,16.6,20.9
19.0,,17.9,15.3,14.9,12.9,14.9,14.4,15.4,16.0,20.0,20.0
17.7,,20.4,,14.5,,14.5,15.9,,16.5,,21.4
