Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
26.2,23.2,22.8,27.8,23.8,15.3,13.4,14.4,12.9,21.7,27.5,29.6
23.2,25.3,25.5,21.3,21.4,15.9,14.1,14.9,12.8,19.5,30.7,18.5
22.9,26.7,33.4,21.3,26.7,14.8,14.3,19.7,14.4,19.1,19.9,22.7
25.8,30.2,24.1,25.2,16.1,15.9,17.7,17.0,17.0,16.0,23.0,18.9
30.5,29.9,22.5,21.4,18.7,16.2,19.8,17.9,20.5,18.6,27.1,24.9
39.2,28.9,24.9,22.1,20.0,15.6,13.1,14.7,18.6,22.5,18.7,34.2
24.1,35.7,29.6,23.3,22.3,18.3,10.0,13.0,15.1,23.6,17.0,37.4
25.1,35.8,30.5,31.0,18.1,14.8,12.8,15.6,16.2,25.6,17.4,28.9
24.0,27.7,32.4,25.0,19.3,16.4,14.1,15.0,17.0,17.4,19.1,21.4
24.6,30.9,34.8,27.1,13.1,15.2,11.2,20.1,16.2,13.9,21.6,24.3
32.4,23.7,30.5,29.6,15.0,13.7,11.2,11.8,22.9,17.3,23.6,25.8
24.2,24.5,23.1,31.2,17.0,17.0,12.1,12.4,16.7,18.9,30.4,33.5
20.9,29.0,24.7,28.4,16.4,15.0,12.5,13.6,18.8,23.1,30.6,22.8
20.8,25.3,25.3,18.0,17.6,15.5,13.5,18.2,22.2,25.4,18.5,25.7
23.0,25.1,23.6,18.3,14.2,13.8,14.7,16.9,18.6,28.3,20.0,28.7
23.8,23.4,26.4,19.8,14.6,11.4,15.2,13.1,13.3,25.5,24.0,25.3
27.9,30.0,33.8,17.0,15.0,13.1,19.5,16.4,17.6,21.7,23.7,
36.8,29.3,22.1,19.8,14.9,14.0,14.5,13.2,22.2,20.5,25.7,25.9
40.1,20.5,26.4,24.8,14.4,13.4,18.1,12.3,13.6,26.3,30.5,24.3
30.9,23.2,17.6,21.3,15.0,12.5,11.1,11.7,15.7,15.9,30.7,26.1
31.0,27.8,21.1,23.6,14.1,14.4,12.9,12.2,17.6,18.8,21.7,22.3
31.3,32.6,24.2,21.9,14.5,13.9,13.8,14.1,18.7,26.5,18.5,22.0
28.7,31.2,29.5,23.3,14.6,11.8,13.1,15.5,13.9,19.7,17.1,27.2
23.2,34.3,21.8,27.3,16.0,13.2,17.6,16.9,15.0,17.8,17.3,33.6
32.5,20.7,25.7,21.5,15.5,13.0,14.2,16.7,13.3,22.5,18.4,31.8
33.2,24.1,16.1,18.6,17.0,13.7,14.7,14.9,16.1,18.9,21.8,31.5
35.0,32.0,22.1,17.1,19.0,12.9,17.6,12.8,24.4,18.7,23.0,40.6
37.9,35.3,30.5,20.4,18.4,12.1,19.4,12.3,15.6,18.9,22.2,39.8
37.8,,25.6,19.2,18.3,11.5,14.0,12.8,14.2,20.5,22.7,27.2
21.6,,24.0,20.5,14.4,10.9,12.7,11.6,16.2,26.5,24.1,25.9
21.0,,23.4,,14.2,,15.4,11.6,,21.7,,31.4
