Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
31.2,26.3,23.5,28.0,22.6,15.0,12.5,13.5,15.8,23.2,36.8,30.5
25.8,27.8,28.2,22.2,23.7,15.1,12.0,14.5,14.0,25.4,32.6,21.7
25.1,29.9,33.3,24.4,24.2,13.3,12.9,15.2,15.7,21.6,22.8,25.9
31.6,31.1,25.1,28.5,16.3,15.6,15.3,14.9,17.6,18.5,26.0,23.4
35.6,34.8,24.0,29.5,18.0,16.7,18.1,16.3,18.5,21.6,29.4,31.5
41.2,35.8,29.2,23.7,19.4,18.2,14.4,11.2,18.0,23.2,27.6,34.7
30.4,38.6,30.2,25.5,19.8,16.0,12.2,12.3,15.3,25.4,19.5,37.5
29.0,37.1,31.2,29.8,20.1,11.3,13.8,14.6,15.7,27.5,19.9,30.9
27.3,33.7,33.0,28.9,18.3,14.5,14.0,11.8,17.5,18.6,20.8,26.8
30.3,30.9,33.5,28.0,12.1,15.8,12.5,18.5,17.9,19.8,25.1,26.6
34.3,24.5,35.1,33.8,13.7,15.3,9.6,12.6,23.3,21.8,27.2,31.4
32.1,24.5,24.1,31.3,16.4,12.7,12.0,12.6,16.9,23.7,30.4,33.4
24.3,29.6,25.6,26.2,17.5,11.5,13.0,15.0,17.6,24.5,28.8,22.7
22.9,25.2,28.2,15.0,16.9,12.2,12.4,15.0,21.2,27.4,26.7,24.0
26.2,24.6,25.1,19.5,16.3,12.5,12.1,16.0,14.7,28.1,20.7,23.0
30.1,26.2,27.6,22.4,14.3,10.7,,14.4,13.8,19.1,25.5,22.3
32.8,31.2,33.6,17.9,14.0,10.3,16.2,13.9,16.7,22.1,24.7,27.9
38.1,34.2,24.7,23.7,17.3,12.0,14.0,13.1,21.0,20.2,28.9,28.6
42.1,30.8,26.2,25.2,15.0,14.0,16.3,11.3,15.6,27.5,30.6,28.6
43.1,32.6,22.9,26.2,14.6,13.3,11.9,10.8,16.7,17.6,30.3,27.0
36.6,27.0,28.4,26.3,15.8,13.8,11.5,12.3,19.4,19.2,23.0,25.6
37.6,25.2,28.3,26.4,14.5,12.2,12.0,13.8,22.5,26.2,15.9,21.9
34.3,33.7,27.7,27.4,14.7,10.7,12.1,15.2,15.6,21.8,15.3,28.5
35.4,35.6,24.0,25.9,16.3,12.7,15.9,16.0,17.2,19.6,19.5,33.3
37.4,22.1,24.4,25.4,16.9,12.8,13.5,17.9,17.2,22.8,21.3,37.3
38.3,29.6,19.8,19.7,19.1,13.0,12.9,18.3,19.6,20.5,23.5,37.8
35.7,30.3,21.9,20.5,18.3,11.5,14.3,12.7,24.4,21.7,26.4,41.7
38.8,31.6,29.7,21.3,20.4,10.7,17.3,12.9,18.8,21.7,25.1,41.0
37.0,,30.1,20.2,16.3,11.8,13.0,13.6,15.6,23.6,24.5,29.6
21.7,,24.9,21.8,13.5,14.0,9.9,14.0,17.9,28.9,27.3,34.8
22.0,,26.0,,14.6,,14.3,14.1,,28.6,,36.8
