Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
21.0,15.6,25.3,10.8,10.9,6.0,1.1,2.7,7.3,11.3,20.5,
21.6,23.5,24.3,13.4,10.7,6.3,,5.1,9.2,14.8,13.0,
23.8,26.3,,11.9,7.2,-0.1,3.0,0.9,8.9,17.1,10.5,
,19.4,25.4,12.8,2.9,-0.5,5.8,-0.1,6.6,9.5,5.6,
8.9,14.9,20.1,14.2,4.6,1.9,7.5,2.9,7.5,15.8,7.1,
13.6,21.3,2.5,12.7,7.0,7.0,8.0,5.0,0.9,16.1,,
18.7,19.3,13.2,13.1,10.2,,6.2,3.4,-1.2,7.0,,11.7
19.4,16.0,11.5,10.8,2.6,5.6,1.9,-1.5,0,-0.2,,19.1
10.0,6.2,16.2,0.2,2.7,6.0,,-3.0,-0.8,1.0,,24.4
15.0,14.3,14.6,4.6,5.5,3.8,1.4,-1.6,4.9,2.7,7.3,
22.3,16.4,13.8,10.1,3.4,9.6,,-0.3,11.7,2.7,13.5,
23.7,10.6,5.6,12.3,3.5,,,0,7.1,4.9,1.9,
22.5,3.5,7.0,10.8,9.2,,-1.3,0.8,,9.2,2.9,
28.4,13.5,13.0,12.5,6.0,,-0.3,1.3,7.9,12.7,9.3,8.2
,,15.2,13.7,10.3,,1.9,3.2,8.7,,5.9,
,,17.1,17.3,11.0,3.7,,2.5,-1.4,7.0,5.0,
23.6,18.2,17.7,16.2,11.5,6.3,0.8,4.9,3.8,2.6,7.8,20.2
23.2,18.7,13.3,11.3,10.8,,,6.6,7.6,,,
17.7,9.2,16.9,15.8,10.4,-1.6,3.1,-0.6,9.8,,14.8,
21.4,13.1,17.7,17.5,7.1,-0.2,4.5,2.0,13.2,7.8,,
25.0,11.9,18.9,15.9,7.3,-0.9,1.7,1.4,9.5,13.3,,
,16.1,19.9,13.6,8.8,-0.3,4.0,3.0,,15.5,,
24.5,16.9,17.7,13.0,9.9,1.5,0.5,9.0,-0.1,,,
28.3,21.9,,10.8,8.6,6.8,4.1,5.1,,20.4,,
30.0,23.1,,9.4,7.9,6.1,7.5,-0.9,3.7,14.9,,
24.2,,8.7,3.0,1.2,8.6,2.6,0,8.5,,,
13.8,,14.8,2.5,-0.3,8.0,1.8,2.2,9.4,5.6,13.6,
21.9,24.8,15.4,8.1,2.0,6.4,3.9,0,2.7,,,
22.1,,,,-2.7,4.9,0.3,5.4,0.6,17.2,18.3,
,,2.7,11.2,2.7,-0.9,4.4,8.3,7.0,20.3,4.4,
7.2,,5.4,,2.5,,8.5,8.8,,20.4,,
