Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,0,0,0,10.0,0,4.8,3.6,0,1.0,0,0
0,0,0,0,0,0.2,0,12.2,1.6,0.2,0.2,0
0,0.4,0,0,0,0,0,1.6,0.6,12.4,0,0
0,1.6,0,0,0.2,6.0,0,0.2,0.2,0.8,0,0
0,0,0,0,0,3.2,2.4,0.2,0,1.4,0,3.0
0,0,0,10.4,0,3.0,25.2,0,0,0.2,0,0
0,0,0,4.8,0,0,7.6,0,0,0,0,0
0,0,0,0,6.0,1.6,0.8,0,0,0,0.2,3.0
,0,0,0,0.8,1.8,0,0,0.6,0,0.2,5.2
0,0,0.8,0,8.8,0.2,0,0.4,16.2,0.2,0,0
0,0,8.6,0,0.6,5.6,2.8,6.8,3.2,0.6,0,0.6
1.0,0,0,0,0,0,0,0,1.2,0.2,3.4,0
0,0,0.6,0,0,0,0.8,0.8,12.4,2.6,2.6,0
0.4,0,0,0,0,0,0,0.2,23.6,0,23.2,0
1.0,0,0,0,0,0,0,0,3.0,0,0,0
0,0.2,0,0,0,0,0,0,2.6,0,0,0
0,0,0,0,0.6,2.6,0,0.2,0,10.2,0,0
0,0.2,10.2,0,0,8.8,0,0,0.2,0.8,0,0
0,0.2,4.4,0,0,0.4,0,0,3.4,3.6,0,0
1.2,0,0,0,0.4,5.0,1.2,11.8,0,0,0,2.0
0.6,0,0,0.4,0,5.2,3.0,1.2,1.8,0,0,0.2
0.4,0,0,18.0,0,0,9.2,1.6,1.6,15.0,8.4,0
7.0,0,0,0,2.6,0,1.2,8.8,0.2,14.0,7.2,0
0.4,0.4,0,0,1.2,13.8,0.8,0,0,0.6,4.0,0.8
0.8,0.4,0,0,0.2,0,0,0.6,7.6,0,0.2,0.2
0,0,0,0,10.2,0.2,3.8,0.2,0.4,0,0,0
0,0,1.4,0,3.4,0.2,0,0,12.0,1.6,0,1.6
0.8,0,0,0,0.4,0.6,0,0,0.6,0,0.2,2.0
10.2,0,0,0.2,2.0,0,0,0,3.0,0,0.2,0
1.0,,0,6.8,0,0,2.4,0,2.0,0,0,35.8
29.0,,0.2,,0,,0.8,0,,0.6,,0.2
