Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
24.5,21.3,40.6,17.3,23.2,15.7,13.3,14.7,18.1,19.5,32.8,14.2
24.4,28.1,40.5,24.6,20.0,11.3,14.7,14.1,18.4,26.4,19.9,14.8
31.4,31.3,37.4,21.3,18.9,12.3,14.2,14.0,17.8,21.5,20.7,18.2
40.5,21.4,24.1,20.7,16.3,11.1,13.8,13.4,18.0,15.0,17.0,20.2
23.1,20.9,24.2,29.8,19.1,13.4,15.7,15.4,15.4,22.9,18.1,19.7
22.4,27.0,18.0,20.0,17.6,15.3,18.0,13.4,12.8,19.3,19.7,18.8
23.1,25.7,20.6,22.6,19.7,14.6,18.9,12.7,12.7,16.1,15.6,21.0
23.7,24.9,21.8,20.7,16.2,17.1,15.1,11.1,12.4,13.8,14.4,27.4
22.4,20.4,24.7,16.1,15.3,18.3,14.0,8.3,13.5,15.3,13.9,32.9
22.0,21.9,24.3,15.8,13.3,16.1,13.8,11.6,14.3,17.0,17.6,19.8
23.6,25.0,21.5,17.3,17.9,17.9,11.8,12.2,20.1,14.4,28.4,20.0
23.8,18.5,19.0,24.1,17.4,14.2,11.8,13.9,19.1,16.9,16.5,21.3
25.9,20.5,20.2,20.9,16.8,15.1,11.0,13.9,15.4,23.0,16.1,18.0
26.9,24.1,21.4,20.3,19.1,14.6,12.0,12.4,18.6,21.5,18.9,21.0
26.9,22.9,22.1,24.1,13.3,14.1,14.5,16.6,20.4,18.1,18.1,19.3
24.1,24.0,23.7,32.2,14.8,16.0,14.9,13.8,13.4,17.1,17.5,20.6
33.8,25.6,25.1,30.6,17.4,16.5,13.9,14.4,13.4,16.8,18.3,24.9
21.8,24.8,21.1,18.7,19.9,12.0,12.6,16.0,17.9,18.7,21.1,39.0
23.3,22.7,18.9,19.3,23.0,12.9,13.2,11.9,24.1,15.6,17.9,21.8
25.2,26.1,21.3,24.8,19.2,12.4,16.2,12.7,26.6,16.8,32.8,44.7
21.9,22.5,19.8,25.1,18.0,13.1,14.1,15.4,15.5,18.0,38.9,19.5
26.1,22.2,24.6,19.5,19.8,12.7,16.2,14.4,14.8,17.8,20.2,20.1
24.3,24.1,31.9,18.7,21.5,13.5,12.4,14.9,15.6,28.7,21.1,21.2
34.4,26.2,30.3,19.8,21.7,14.8,14.7,18.2,15.2,34.3,19.1,22.2
39.8,36.6,15.8,18.9,17.0,16.7,14.6,13.5,16.8,20.9,24.5,25.2
25.0,23.0,20.8,14.5,14.0,18.1,12.2,14.2,19.9,15.5,16.5,21.9
27.8,24.1,19.7,13.6,13.5,17.2,13.7,15.7,17.2,17.5,22.8,24.1
29.2,39.1,28.8,17.1,14.5,19.8,13.2,11.4,14.9,18.7,18.4,27.6
27.3,,27.5,18.8,9.6,12.9,14.1,13.8,17.4,29.5,17.8,32.6
27.6,,16.2,22.8,12.9,12.8,13.0,13.3,15.6,23.4,18.8,43.1
21.5,,18.1,,13.2,,11.9,18.9,,34.2,,22.6
