Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
21.3,20.3,30.7,18.9,19.8,13.5,12.9,14.2,16.5,16.9,17.5,23.7
17.3,23.5,23.9,18.6,16.4,14.6,14.2,13.1,,15.6,17.0,16.8
20.5,25.9,29.8,22.2,15.9,15.0,14.4,9.3,16.6,20.5,15.0,17.0
30.9,36.7,27.3,23.3,15.7,13.8,16.6,11.6,12.8,23.3,15.9,18.0
30.4,31.6,26.0,25.1,20.3,16.5,14.9,13.8,12.1,18.9,17.8,23.1
34.2,18.3,27.3,26.2,20.1,14.1,15.0,12.3,13.2,15.2,17.6,22.5
37.1,26.5,27.9,26.8,14.8,14.8,14.0,11.6,15.5,23.0,15.6,21.3
33.3,35.8,29.7,28.3,16.6,14.4,12.8,14.0,12.9,26.5,17.7,18.7
23.5,36.1,31.5,15.5,15.9,15.5,12.9,17.4,14.3,17.7,22.6,22.8
25.9,27.2,24.1,16.9,16.5,13.4,15.3,19.3,14.4,20.5,26.6,21.4
22.7,24.0,27.0,19.1,16.2,14.6,13.8,16.9,17.1,25.1,26.3,20.3
26.6,19.6,27.1,20.4,19.1,16.0,15.7,16.8,18.3,17.7,27.2,26.3
27.7,21.1,25.1,20.9,16.0,14.0,15.1,18.2,15.3,16.9,32.4,37.3
22.9,19.7,32.1,18.4,16.5,17.0,15.0,20.3,14.1,16.4,34.8,22.0
20.9,31.8,34.1,17.4,16.9,18.4,11.9,18.2,14.6,19.6,33.1,24.9
30.0,23.6,22.9,20.7,17.1,16.1,12.0,16.3,14.0,27.0,22.5,24.0
35.3,25.0,23.3,18.5,18.7,14.8,15.4,15.5,17.9,30.7,25.6,27.7
20.6,18.9,30.2,21.4,20.4,15.9,13.2,12.0,21.5,31.8,29.1,30.3
24.1,17.5,32.3,27.1,17.6,15.6,13.4,11.7,13.6,25.1,29.1,37.2
20.9,19.5,29.2,26.4,19.3,15.5,11.3,12.5,18.8,16.9,31.1,23.7
22.0,22.5,25.6,21.2,19.6,13.2,14.7,12.0,22.6,15.6,33.4,23.0
28.5,32.8,21.7,23.4,20.9,13.9,12.7,16.0,24.9,17.0,32.7,25.6
36.5,24.0,25.0,21.5,20.1,14.4,13.7,17.8,29.9,18.3,32.9,27.4
21.3,20.8,25.3,23.9,16.6,11.9,15.8,13.7,19.1,20.3,30.3,19.5
21.6,20.3,30.2,18.8,19.1,13.8,17.8,14.7,14.5,18.6,34.5,22.3
21.9,29.2,27.5,14.9,16.3,12.7,14.4,14.6,14.9,17.8,27.7,29.5
25.5,32.0,33.6,15.1,18.8,11.6,15.2,10.8,23.7,27.2,22.6,34.9
25.8,32.6,23.3,18.7,14.5,14.4,14.6,12.0,16.6,20.5,31.2,32.8
28.4,,27.6,19.0,14.5,13.1,18.7,13.7,18.4,28.5,36.1,25.2
30.0,,17.9,18.1,13.3,12.6,16.1,14.5,15.3,15.9,36.5,21.3
22.0,,17.7,,13.3,,13.7,15.2,,16.0,,23.8
