Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
10.8,12.7,13.9,12.8,5.5,3.6,5.6,7.3,3.5,2.6,15.3,13.6
13.3,13.2,8.7,10.9,13.0,4.5,8.8,6.2,8.8,7.7,13.3,7.8
20.6,15.4,14.6,6.1,7.1,6.5,3.5,6.1,10.2,17.3,7.2,9.4
15.1,13.6,13.7,7.8,4.9,4.3,7.0,2.2,4.7,13.5,9.5,10.0
14.4,11.7,10.6,7.9,11.6,7.0,7.2,6.8,8.8,10.2,15.6,14.0
16.2,13.5,12.5,9.0,8.3,8.6,6.6,4.8,3.2,20.7,16.0,13.5
17.0,19.4,13.1,10.1,8.0,10.4,6.8,6.7,8.0,10.9,11.1,17.6
21.6,18.8,15.3,10.6,9.3,9.9,1.7,8.2,8.1,6.9,6.9,20.0
16.6,13.1,12.8,7.1,11.4,8.4,6.1,7.1,8.8,10.1,10.8,13.7
13.2,15.5,15.4,6.4,12.0,6.2,7.3,7.8,8.2,14.9,14.6,12.0
14.4,16.0,8.8,9.3,11.0,3.5,9.8,6.6,3.9,16.9,11.5,12.2
15.3,17.5,11.8,12.7,12.1,2.8,1.9,7.4,12.3,10.4,13.0,8.4
19.9,14.4,13.6,5.2,5.5,3.4,5.0,6.5,14.4,6.3,13.2,8.6
17.6,18.1,7.6,11.4,6.4,3.4,6.7,8.9,14.9,8.4,10.2,10.5
14.9,15.4,14.0,14.3,10.4,5.8,4.2,9.4,10.3,15.3,12.2,12.9
9.8,16.4,7.8,14.4,10.4,8.2,5.5,3.3,6.6,16.1,11.4,16.1
13.8,17.2,12.8,8.9,5.8,10.9,5.5,8.3,7.2,10.5,15.2,15.6
12.8,16.8,15.4,12.4,4.6,10.2,5.9,4.7,8.2,12.0,12.5,18.9
12.8,17.3,15.8,8.0,11.2,6.0,-1.5,4.3,4.7,6.2,15.5,18.6
10.7,15.2,11.5,6.4,11.5,2.8,-1.4,5.4,6.3,10.5,15.1,26.2
18.2,17.5,10.4,5.3,8.8,-0.4,4.2,10.1,12.6,17.0,11.0,13.9
18.0,20.4,8.4,9.0,8.7,2.7,10.5,9.9,6.1,10.3,12.9,10.9
19.3,19.4,14.0,12.0,9.8,8.8,2.8,5.7,6.5,11.1,12.3,14.5
12.9,15.2,11.3,12.7,5.1,10.3,8.8,7.9,3.6,7.7,11.3,14.6
13.9,12.4,11.7,10.6,5.5,7.4,7.8,9.0,3.0,7.8,11.8,22.6
9.8,15.5,7.8,9.5,2.8,8.7,6.3,7.5,6.1,13.3,10.1,12.0
12.2,12.4,11.2,10.0,9.4,4.4,4.6,9.2,6.3,9.2,6.3,10.4
12.7,16.8,9.2,7.7,12.2,8.2,7.1,5.9,5.2,7.8,10.3,11.8
11.5,,6.0,5.3,6.6,5.3,5.8,3.8,6.0,11.2,11.9,12.1
12.1,,7.9,3.7,9.0,3.6,7.6,7.5,10.3,10.8,7.9,12.2
12.7,,9.0,,9.6,,3.5,6.7,,14.2,,21.1
