Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
35.5,30.1,38.8,21.8,22.0,15.8,11.7,12.4,17.4,22.7,33.2,17.6
33.7,36.7,37.9,25.9,19.8,14.1,16.2,11.7,16.2,28.1,21.8,19.4
37.3,42.8,38.5,28.2,18.3,13.1,15.4,13.1,20.8,22.5,23.6,24.6
44.7,30.6,36.2,28.6,17.1,13.7,15.8,12.9,15.0,21.2,17.8,25.9
26.2,32.8,30.0,32.8,16.9,12.5,16.1,15.9,20.5,26.1,21.8,27.2
28.6,32.3,21.7,23.0,18.1,13.2,17.6,16.3,13.9,20.1,23.8,24.5
30.7,32.2,24.7,26.5,22.2,15.7,13.1,14.3,15.0,18.5,19.7,28.9
32.8,27.9,30.7,24.4,17.2,17.5,14.5,11.7,14.1,16.9,16.5,33.8
26.9,22.7,30.7,18.2,17.7,17.3,15.1,12.0,15.1,16.6,17.6,39.4
28.1,26.9,20.9,18.9,14.2,17.8,16.4,11.6,15.0,18.5,22.4,28.6
36.8,28.9,25.2,20.1,16.2,19.1,15.5,12.2,19.5,19.3,33.0,29.7
40.1,21.2,22.5,23.5,16.8,14.9,14.4,12.4,21.5,23.2,20.4,24.9
36.5,22.8,21.5,22.7,17.4,16.2,12.3,11.6,18.6,26.5,19.8,26.5
41.3,26.7,27.0,21.2,21.2,16.2,13.6,14.7,20.3,23.2,24.0,27.6
43.0,31.1,27.6,27.6,17.7,14.5,14.6,18.4,25.2,23.2,21.5,30.1
41.2,33.8,31.6,33.6,17.8,17.0,14.9,16.3,15.0,19.8,19.7,33.7
39.0,33.9,32.8,31.9,18.5,16.6,14.1,14.3,14.7,17.7,22.4,37.0
31.0,30.5,33.5,21.0,21.8,12.9,13.2,13.7,18.9,22.9,31.4,43.2
31.1,25.4,31.3,26.3,23.8,12.1,12.9,12.9,24.3,18.0,30.2,40.1
35.2,27.5,31.1,32.4,21.2,12.5,16.2,15.6,27.7,20.3,39.9,46.9
38.4,28.1,30.1,25.3,19.8,13.3,15.1,17.0,15.8,24.9,39.6,28.4
40.7,32.6,34.5,21.5,22.2,12.7,17.2,16.4,,29.2,26.2,30.4
38.7,32.5,31.8,22.1,25.2,12.6,14.7,15.7,17.0,32.7,25.3,33.4
42.8,34.8,27.3,25.4,20.7,13.9,14.3,20.8,14.7,36.3,27.9,34.9
42.5,34.8,18.8,22.7,17.8,15.4,16.0,13.4,17.7,23.2,30.3,36.5
33.2,35.9,22.8,18.2,15.3,16.3,12.6,14.4,21.3,19.6,20.9,34.3
29.9,37.1,25.2,19.0,13.6,18.0,12.6,15.8,19.9,20.1,27.1,39.4
33.5,39.6,28.9,19.4,14.1,20.8,13.8,14.5,17.0,25.0,29.3,38.9
36.3,,29.2,19.6,11.3,14.2,14.9,13.7,16.0,32.2,25.5,43.1
41.0,,18.1,22.3,13.1,13.8,12.2,16.6,17.5,36.0,22.0,44.2
26.8,,19.5,,15.6,,12.3,20.3,,33.7,,27.5
