Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
36.8,31.9,36.6,22.0,20.8,16.3,11.5,13.0,19.3,21.7,34.2,13.5
36.8,36.1,34.4,26.2,22.2,14.9,11.7,13.2,17.0,26.7,31.3,17.8
37.8,38.2,36.3,26.6,18.4,12.9,14.6,12.2,,31.4,23.4,23.5
42.8,37.2,39.4,20.5,17.1,13.9,17.2,11.5,17.5,21.8,21.2,
25.0,28.3,33.6,28.0,20.0,13.7,17.6,12.2,17.0,25.2,19.4,27.5
30.9,35.0,21.6,28.0,,15.3,17.4,12.3,12.8,26.4,25.2,25.5
33.5,32.2,24.7,26.1,17.2,16.0,14.9,10.2,13.5,18.6,18.7,27.3
34.2,28.4,29.4,23.3,15.5,14.3,15.0,11.5,13.2,17.0,16.9,32.7
30.1,22.2,32.0,,16.4,16.2,12.5,10.2,12.7,19.3,15.6,37.0
30.1,26.1,30.9,19.6,14.1,17.0,13.2,10.1,15.9,19.9,21.7,34.7
35.9,30.9,28.4,22.7,15.5,16.0,11.7,11.3,17.5,22.3,28.9,30.8
38.9,27.9,24.8,24.8,15.9,13.6,13.6,13.8,19.9,20.3,23.6,27.2
41.2,22.4,22.9,23.9,15.7,15.1,10.1,12.6,18.6,21.3,20.1,27.0
40.4,27.0,27.4,26.3,17.7,14.1,10.8,12.1,19.5,24.5,23.7,27.5
43.6,32.5,30.3,28.2,18.4,13.7,13.2,14.9,18.4,26.5,23.6,29.3
44.2,33.8,31.0,27.7,17.5,14.8,13.9,14.1,11.8,18.7,,32.3
39.5,36.0,31.6,28.3,20.2,14.7,11.1,16.0,16.5,17.5,23.6,35.9
38.2,33.7,,26.8,20.8,11.2,11.9,18.0,19.0,22.2,28.2,39.4
35.3,27.5,32.3,27.0,17.1,11.6,11.4,11.3,23.1,17.6,32.2,41.5
36.8,29.8,32.5,29.1,14.9,9.8,14.9,11.5,25.5,18.9,34.5,42.6
39.0,31.7,33.6,28.2,18.1,12.4,13.1,16.8,19.6,27.1,41.0,36.3
42.1,32.9,29.2,22.0,19.8,12.5,14.0,13.8,15.8,28.9,29.3,34.9
41.8,33.5,27.1,26.0,20.2,12.9,14.6,13.8,14.2,30.0,28.9,33.7
40.6,31.2,27.5,25.4,18.2,13.1,12.0,16.2,15.2,33.8,30.2,36.6
45.4,31.9,21.2,23.9,17.3,15.2,,13.9,16.4,27.0,34.1,34.4
38.7,35.5,21.4,18.8,14.0,16.5,11.5,15.4,18.2,18.5,19.8,37.5
25.1,36.6,24.9,17.1,11.5,16.5,14.7,15.9,23.5,19.8,25.0,40.0
30.5,34.9,28.0,19.3,11.3,17.9,14.7,14.4,18.2,25.4,31.4,39.3
33.7,,26.4,20.0,10.9,16.4,12.0,15.0,16.9,29.1,34.2,40.1
25.9,,15.9,23.8,11.7,12.0,13.4,16.9,19.4,32.4,22.6,43.1
30.3,,17.5,,14.5,,14.7,16.8,,32.6,,31.3
