Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
20.2,19.3,18.2,21.6,20.4,13.3,12.3,12.4,11.6,15.3,28.3,24.2
20.1,20.6,19.7,17.8,22.1,13.9,13.2,15.0,10.7,22.4,25.6,15.8
18.1,22.1,22.7,18.0,24.0,13.7,14.4,15.6,12.7,16.0,14.9,15.3
20.0,23.9,17.5,16.8,15.1,14.3,19.0,15.2,13.9,13.4,15.2,16.6
23.2,22.9,18.4,17.0,16.2,14.7,18.1,14.6,17.0,14.8,21.5,18.0
38.4,21.5,20.0,17.9,17.2,14.1,11.9,11.5,15.3,15.5,16.8,30.9
18.3,27.4,21.2,19.1,18.1,17.6,12.1,11.8,12.9,15.9,14.0,36.1
19.0,27.4,22.0,25.8,15.3,14.1,12.3,13.1,13.4,17.8,14.5,24.9
20.0,21.4,22.1,18.3,16.0,14.2,12.1,12.3,13.6,17.1,16.2,19.4
19.8,31.4,28.0,24.3,12.4,14.3,12.3,18.6,15.0,12.0,16.6,18.0
22.4,18.6,21.9,18.5,15.1,13.8,12.0,10.3,21.2,13.9,15.4,18.5
27.8,20.3,18.6,21.6,15.2,14.3,12.4,12.4,13.5,14.7,26.4,18.9
17.7,25.3,18.2,20.7,15.5,12.7,12.3,12.7,16.6,15.7,27.9,19.8
16.8,18.1,18.3,16.9,16.3,13.6,12.9,16.6,20.9,17.4,16.7,17.6
19.6,18.0,18.1,16.1,14.1,10.9,12.8,13.6,14.0,21.7,16.9,18.7
19.0,18.6,22.9,16.4,13.4,12.0,14.5,12.3,11.7,21.5,18.4,22.2
21.5,20.0,29.2,15.0,13.9,13.1,17.6,13.2,17.1,17.7,16.7,18.8
33.8,20.9,20.3,17.0,14.3,11.9,14.4,10.7,20.7,18.4,18.1,19.6
35.8,17.8,19.3,17.3,14.0,12.7,15.3,10.2,12.5,22.1,18.8,17.9
22.1,18.5,15.9,17.9,15.0,13.7,11.5,10.8,13.0,13.9,,20.0
23.2,20.9,16.8,17.8,14.3,12.0,12.3,11.1,13.5,16.1,16.3,18.8
21.7,21.7,18.5,17.9,14.4,12.0,13.2,12.7,13.8,20.6,15.0,17.4
21.1,29.1,21.1,23.9,14.6,12.2,12.4,13.0,11.4,16.0,17.1,22.6
19.5,26.9,22.2,25.1,14.3,12.1,14.2,12.7,12.8,15.0,17.1,28.9
20.4,18.0,20.9,17.2,13.8,12.2,11.3,12.5,12.5,16.7,16.9,19.6
22.0,20.0,16.1,15.8,14.9,13.6,12.4,12.6,16.3,14.9,17.7,22.1
27.3,,21.3,16.1,20.1,12.3,14.0,9.8,21.8,15.1,18.0,28.5
32.5,,25.0,16.7,19.4,13.4,14.5,9.8,12.2,13.6,17.5,35.0
31.8,,18.4,15.6,16.6,12.2,12.3,10.8,12.5,15.0,17.8,22.0
17.7,,18.3,16.6,13.5,12.0,12.7,13.3,14.0,,17.6,18.7
17.8,,18.7,,12.3,,13.4,12.4,,15.1,,19.9
