Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
20.9,19.9,38.6,18.0,23.1,13.6,13.4,13.4,15.3,18.0,20.1,14.0
21.4,24.1,39.8,21.9,21.0,12.5,14.0,12.7,15.3,27.8,17.1,13.3
28.1,22.9,22.4,17.4,17.4,11.9,14.4,13.1,15.2,14.3,15.8,14.8
20.6,19.6,21.8,20.2,13.8,12.8,13.1,12.4,15.1,12.1,13.8,15.3
20.3,20.6,21.2,30.3,14.3,13.1,16.4,17.5,21.3,26.1,16.8,15.9
21.6,25.4,16.9,16.6,15.0,13.8,19.2,17.2,12.5,15.0,16.4,14.7
21.9,22.0,19.2,19.4,21.3,12.5,14.1,12.8,11.5,16.2,13.7,15.8
21.0,18.4,20.0,17.9,14.1,16.6,13.6,11.6,12.7,12.1,13.1,26.3
20.1,18.1,22.1,15.8,12.7,17.1,15.1,11.2,13.1,13.8,13.2,26.0
20.8,20.8,17.4,15.8,13.9,15.8,12.9,11.6,13.1,14.9,14.7,16.7
27.9,21.9,18.9,17.1,14.9,18.4,13.7,11.6,20.6,15.0,28.6,16.7
20.4,15.7,17.7,20.5,16.3,15.0,12.1,11.6,13.9,15.5,13.6,15.9
20.9,17.8,18.0,16.2,16.4,14.0,12.3,12.4,15.2,25.5,14.2,15.9
24.1,18.7,18.3,18.3,16.3,14.2,12.8,15.3,17.4,16.8,16.5,16.8
28.3,21.5,20.6,23.3,15.6,15.0,13.2,15.9,18.0,16.1,14.4,18.4
22.2,21.5,21.1,31.4,16.5,16.7,12.8,12.6,12.0,14.5,14.3,19.9
29.2,25.4,22.4,24.0,19.7,16.2,14.2,15.1,13.2,12.2,14.7,22.3
20.3,18.4,21.1,16.4,17.9,12.5,14.0,14.1,15.9,16.5,18.5,32.9
21.3,19.4,19.8,22.2,21.8,12.6,13.7,12.1,23.4,13.2,16.3,27.3
21.6,19.1,18.9,32.5,18.6,12.1,17.5,13.3,22.2,14.4,33.7,45.1
21.4,18.7,17.8,21.3,18.9,12.6,15.2,13.1,11.8,15.1,29.3,16.2
23.5,20.3,21.5,17.5,16.3,12.6,17.9,12.8,15.2,17.6,16.7,17.4
21.3,19.4,20.5,17.4,15.9,13.3,12.4,15.5,13.1,25.9,17.3,17.6
33.7,27.1,21.9,16.8,20.3,13.8,13.3,16.6,14.0,35.0,16.7,18.9
21.8,34.9,15.0,16.6,15.5,15.6,15.2,12.7,14.3,17.6,18.5,18.1
22.8,19.5,17.2,13.7,16.1,17.1,13.9,13.4,19.3,13.0,14.3,18.3
21.6,21.5,,14.6,14.0,18.3,13.2,14.6,12.8,14.8,17.2,19.9
22.7,31.4,21.4,14.6,14.6,19.4,13.2,11.0,14.2,17.9,17.2,21.5
22.3,,19.2,15.7,11.9,15.2,13.6,12.7,14.0,26.3,16.0,31.8
23.9,,14.6,20.9,13.0,14.4,12.1,14.5,14.2,23.4,15.5,39.5
18.0,,16.7,,13.7,,12.1,19.8,,34.1,,18.6
