,Date,Measure,Distributor,MeasurementType
111,2015-04-22,17.6,AusNet,MaxTemp
112,2015-04-23,18.3,AusNet,MaxTemp
113,2015-04-24,20.2,AusNet,MaxTemp
114,2015-04-25,15.2,AusNet,MaxTemp
115,2015-04-26,15.5,AusNet,MaxTemp
116,2015-04-27,16.3,AusNet,MaxTemp
117,2015-04-28,17.6,AusNet,MaxTemp
118,2015-04-29,17.8,AusNet,MaxTemp
119,2015-04-30,19.3,AusNet,MaxTemp
120,2015-05-01,21.1,AusNet,MaxTemp
121,2015-05-02,20.7,AusNet,MaxTemp
122,2015-05-03,20.0,AusNet,MaxTemp
123,2015-05-04,21.5,AusNet,MaxTemp
124,2015-05-05,16.1,AusNet,MaxTemp
125,2015-05-06,17.3,AusNet,MaxTemp
126,2015-05-07,15.5,AusNet,MaxTemp
127,2015-05-08,16.0,AusNet,MaxTemp
128,2015-05-09,18.5,AusNet,MaxTemp
129,2015-05-10,14.9,AusNet,MaxTemp
130,2015-05-11,15.4,AusNet,MaxTemp
131,2015-05-12,15.6,AusNet,MaxTemp
132,2015-05-13,11.7,AusNet,MaxTemp
133,2015-05-14,14.7,AusNet,MaxTemp
134,2015-05-15,14.7,AusNet,MaxTemp
135,2015-05-16,15.0,AusNet,MaxTemp
136,2015-05-17,19.5,AusNet,MaxTemp
137,2015-05-18,18.6,AusNet,MaxTemp
138,2015-05-19,15.1,AusNet,MaxTemp
139,2015-05-20,19.8,AusNet,MaxTemp
140,2015-05-21,11.9,AusNet,MaxTemp
141,2015-05-22,15.9,AusNet,MaxTemp
142,2015-05-23,14.4,AusNet,MaxTemp
143,2015-05-24,14.3,AusNet,MaxTemp
144,2015-05-25,15.7,AusNet,MaxTemp
145,2015-05-26,16.4,AusNet,MaxTemp
146,2015-05-27,15.5,AusNet,MaxTemp
147,2015-05-28,20.0,AusNet,MaxTemp
148,2015-05-29,14.9,AusNet,MaxTemp
149,2015-05-30,16.5,AusNet,MaxTemp
150,2015-05-31,16.2,AusNet,MaxTemp
151,2015-06-01,11.7,AusNet,MaxTemp
152,2015-06-02,10.5,AusNet,MaxTemp
153,2015-06-03,12.8,AusNet,MaxTemp
154,2015-06-04,11.6,AusNet,MaxTemp
155,2015-06-05,14.2,AusNet,MaxTemp
156,2015-06-06,16.4,AusNet,MaxTemp
157,2015-06-07,18.5,AusNet,MaxTemp
158,2015-06-08,18.4,AusNet,MaxTemp
159,2015-06-09,13.0,AusNet,MaxTemp
160,2015-06-10,12.1,AusNet,MaxTemp
161,2015-06-11,13.4,AusNet,MaxTemp
162,2015-06-12,9.3,AusNet,MaxTemp
163,2015-06-13,15.7,AusNet,MaxTemp
164,2015-06-14,16.2,AusNet,MaxTemp
165,2015-06-15,13.3,AusNet,MaxTemp
166,2015-06-16,15.4,AusNet,MaxTemp
167,2015-06-17,13.9,AusNet,MaxTemp
168,2015-06-18,10.9,AusNet,MaxTemp
169,2015-06-19,11.9,AusNet,MaxTemp
170,2015-06-20,12.8,AusNet,MaxTemp
171,2015-06-21,13.7,AusNet,MaxTemp
172,2015-06-22,12.2,AusNet,MaxTemp
173,2015-06-23,13.6,AusNet,MaxTemp
174,2015-06-24,16.4,AusNet,MaxTemp
175,2015-06-25,13.2,AusNet,MaxTemp
176,2015-06-26,15.0,AusNet,MaxTemp
177,2015-06-27,13.5,AusNet,MaxTemp
178,2015-06-28,14.9,AusNet,MaxTemp
