Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
13.3,13.2,15.2,13.3,7.9,5.2,7.4,6.5,5.1,6.0,16.4,14.5
15.4,13.5,11.6,12.8,11.6,7.1,10.3,7.8,8.0,9.9,14.5,9.2
20.0,16.1,15.5,8.0,9.7,8.1,5.9,7.3,10.6,16.3,8.0,12.2
16.3,14.8,15.4,8.5,7.5,4.4,7.3,3.5,8.7,13.9,10.9,11.3
15.0,13.3,12.6,10.2,9.2,7.0,8.2,6.6,10.2,12.7,16.2,15.5
17.7,14.5,14.1,11.2,9.5,9.2,7.5,7.1,5.8,15.5,16.6,15.3
18.9,18.8,15.4,12.4,10.3,11.2,7.4,9.0,8.9,11.8,11.9,18.1
23.1,18.9,16.2,13.3,10.5,11.1,4.9,8.8,8.8,7.6,8.5,20.3
16.5,13.6,14.4,8.7,12.8,10.3,6.5,7.7,10.0,10.9,13.6,15.4
13.6,16.4,16.2,8.6,12.8,7.5,7.6,8.3,10.0,17.5,15.2,13.1
15.6,18.1,11.2,11.6,12.4,5.7,10.9,7.8,5.1,16.9,11.5,14.2
16.1,17.8,13.0,12.1,12.8,5.2,3.4,9.3,12.2,11.3,13.7,10.1
20.2,16.1,14.4,7.3,6.3,6.0,6.1,8.4,13.2,7.9,13.5,10.3
18.3,19.0,9.4,10.5,7.3,5.8,8.1,10.4,15.4,11.2,12.1,11.9
15.8,18.2,13.1,13.9,11.5,7.1,5.8,10.0,10.8,14.4,13.0,14.4
13.1,17.4,10.5,15.6,11.3,9.5,6.6,4.7,8.9,17.0,11.4,15.6
15.9,17.6,13.0,10.1,7.4,11.7,7.3,6.8,9.0,11.5,15.7,16.9
15.3,17.7,17.8,13.5,7.2,10.7,6.1,6.1,10.5,12.6,14.7,19.4
13.5,18.2,16.5,9.7,9.9,7.0,0.6,5.5,6.5,8.3,15.6,19.2
13.0,17.4,14.2,7.0,13.6,4.1,1.8,6.1,8.5,12.9,15.4,25.9
19.7,18.1,11.9,6.5,10.3,2.2,4.2,10.9,14.0,17.6,12.2,15.0
18.7,20.3,11.3,9.1,9.1,3.6,11.4,11.8,7.6,11.4,13.5,12.0
20.2,21.1,13.6,12.2,10.4,9.6,5.1,7.9,8.5,11.8,13.8,15.1
15.8,15.9,12.6,14.4,6.0,12.2,7.6,8.5,5.1,9.2,13.6,16.7
14.7,14.0,13.0,11.6,7.4,9.6,9.4,9.5,5.8,10.2,13.5,21.7
11.6,16.0,9.8,10.4,5.4,10.5,8.1,9.2,6.6,14.0,10.8,12.7
11.7,14.8,11.6,10.5,7.9,8.0,6.2,9.8,9.8,10.4,9.0,11.9
13.3,17.9,12.7,10.1,13.1,9.6,7.9,8.1,8.3,10.1,12.0,12.8
12.8,,8.5,7.4,9.5,6.9,8.4,6.3,9.0,13.7,12.6,12.4
13.1,,10.6,6.4,11.0,5.0,8.6,7.9,11.5,12.6,10.0,13.9
14.3,,11.2,,12.3,,4.1,8.1,,15.7,,19.7
