Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,0,0,0,0,3.8,0.4,5.2,0,2.6,6.0,0
5.2,0,0,0,0,3.2,0,10.6,10.8,0,0.2,0.4
0,0,0,0.2,1.4,3.4,0,0.6,0.2,0.6,0,0
0,0.4,0,0,5.6,1.6,0,0,0,0.2,0,9.0
0.2,0,0,0,1.8,4.8,0,0,0,0,0,0
0.8,0,0,0,0.6,2.0,0.2,0,0,0,0,2.6
0,0,0,0,1.8,0.4,0,1.6,0,1.0,0,14.8
0,0,0,0,0,1.0,0,2.6,0,1.0,0,2.2
0,0,0,13.4,0,0,0.2,0,0,0,0.2,0
0,0,0,18.2,11.0,0,5.0,1.4,1.6,0,0,0
0,0,0,10.2,1.8,0,1.2,6.0,2.4,0,0,0.8
0,0,1.6,0.4,0,0,4.4,0.6,0,0,0,0
0,0,0,0,0,5.8,2.4,0.2,0,4.4,0,0
0,0,0,0,0,0,0,0.8,0,6.0,0,0
0.2,0,0,0,0,0.8,0,0,0,0.2,0,0
0,5.8,5.6,0,0,0.4,2.0,0,0,0,36.6,0
0.2,4.8,0,0,0,2.0,0.2,0,3.4,3.4,0.6,0
0.2,0,0,0,0,0,2.4,0,0.6,0,0,0
0,0,0,2.2,0,0,0.2,0.2,0.4,0,0,1.6
0,10.4,0,0,0,0,0.2,0,0,0,0,0
0,0,0,0,0.8,0,0,0,0,0,0.8,0
0.2,0.6,1.8,5.4,0,0,0,0,0,0,0,0
0,0,0,4.8,6.2,0,0,0,0,0,0,1.0
1.0,0,0.2,0.2,0,4.4,0,0.6,0,0,1.2,0.6
5.4,0,0.4,0.2,0.6,7.0,0,0.8,11.6,0,12.6,0
0,0,0,0,0,0.6,0,0.2,0.2,0,0,3.4
0,0.4,4.6,0,0,0,1.4,0,0,22.4,0,0
0,0,6.6,0,2.2,0,0,0,0,3.6,0,0
0,,0.2,0,0,1.6,0,0,0,0.4,0,0
0,,0.6,12.8,0,6.0,0,0,0,0,0,0.2
0,,0.2,,0,,0,0,,0,,0.4
