Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
38.2,30.5,37.5,22.6,23.0,16.0,11.8,11.5,22.5,24.7,34.5,14.0
35.5,38.5,36.0,26.2,19.0,13.6,14.5,12.6,18.8,29.0,19.5,19.9
38.5,42.0,38.0,29.0,19.0,13.3,15.4,12.6,21.4,,23.7,25.5
45.7,33.5,39.6,26.4,18.0,13.3,16.3,12.5,16.5,22.6,20.7,26.0
24.6,33.6,34.6,30.0,19.2,13.6,17.4,14.5,19.4,28.6,20.4,29.0
30.0,37.0,22.5,24.4,18.8,16.3,18.3,15.2,14.7,26.2,26.6,27.1
34.4,33.1,25.0,27.2,19.3,16.8,14.2,11.1,15.4,18.0,20.7,28.4
35.2,30.2,28.0,24.3,16.3,18.5,14.2,11.8,14.6,18.3,18.5,33.2
29.3,24.3,31.6,19.4,16.6,18.0,13.3,11.4,15.0,18.5,19.3,39.8
28.8,26.6,30.0,19.8,12.8,18.5,15.1,12.9,16.4,20.8,23.2,30.6
36.0,30.4,28.7,22.5,13.6,18.5,13.7,13.4,19.7,22.6,31.2,29.5
42.7,23.8,24.7,25.3,15.3,16.0,14.2,13.6,22.3,22.0,22.7,28.0
37.5,23.2,23.0,24.4,17.2,16.0,11.7,12.0,20.0,25.0,22.5,27.0
42.3,25.6,27.6,27.1,18.7,16.2,12.1,11.6,21.0,28.0,24.7,28.5
44.8,32.6,28.8,28.2,19.3,15.7,13.7,18.0,26.6,26.1,23.2,30.8
44.6,34.5,31.4,30.7,17.8,15.6,14.3,16.5,13.0,19.2,21.5,32.8
40.2,35.4,31.5,31.3,20.4,15.5,12.5,16.2,15.7,18.7,23.5,36.7
40.2,31.3,32.5,23.0,23.0,13.6,12.4,18.5,20.2,25.1,31.0,41.5
32.2,26.5,32.0,26.0,21.3,12.4,14.3,12.0,24.8,18.5,32.7,39.7
36.5,28.4,32.8,31.1,21.5,11.5,16.5,14.2,28.3,21.4,36.5,46.3
39.6,29.0,33.7,27.6,19.4,13.7,15.5,17.3,18.0,26.9,42.6,32.5
41.6,31.7,33.7,19.7,21.1,12.5,15.7,15.1,16.2,29.3,28.0,32.3
39.4,32.2,32.7,24.5,21.6,12.8,16.0,15.0,15.6,32.4,28.3,33.6
42.2,32.6,27.6,22.9,19.5,14.3,13.3,19.9,17.0,36.2,29.2,35.2
46.9,32.5,20.5,22.6,19.5,15.9,13.5,14.5,17.2,25.4,33.5,35.8
37.3,35.5,22.6,18.7,14.5,16.6,14.4,15.7,21.3,19.9,20.8,36.4
25.0,36.7,25.0,18.1,13.0,16.0,14.3,16.0,26.8,21.1,27.1,40.0
32.1,37.0,28.5,20.0,13.6,19.2,14.0,14.0,18.5,25.5,31.5,37.4
36.4,,31.4,19.5,11.7,16.2,13.1,14.0,18.4,31.0,32.8,42.8
35.5,,18.5,22.9,13.2,13.3,12.5,17.7,18.4,34.5,22.5,41.5
28.5,,20.2,,15.7,,14.0,19.0,,34.0,,29.3
