Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,0,0,1.2,0,1.8,0,0,0,0,0,0
0,0,0,0,10.0,0,0,0.8,6.2,0,5.4,8.6
0,0,0,0,1.0,7.0,0.8,0.4,0.6,0,14.8,3.2
0,0,0,0,3.2,7.2,0.8,1.8,0.2,0,4.0,0.2
0.6,0,0,0,2.2,0.2,0.2,0,2.8,2.8,12.0,0
2.2,0,7.8,0,0.4,1.2,0,0,2.6,0,0,0
0,3.4,0,0,0,0,0,0.4,9.0,0.4,0,0
0,2.4,1.6,0,9.8,0,5.0,0,4.2,14.0,11.2,0
1.2,4.4,0,6.0,0.2,0,1.4,11.6,11.8,6.8,9.2,0
0,3.8,0,4.4,3.2,4.8,0,9.2,2.8,0.4,2.4,0
0,0,0,0,4.2,0,8.2,13.8,0.2,0,0.2,0
0,7.0,0.2,0,0.4,0,12.0,6.2,0,0,0.8,0.2
0,1.6,2.0,0,0,9.6,4.4,2.0,0,0,1.8,0.2
0,0,0,0,0,1.0,13.2,0.6,0,0.4,0.6,0
0,0,0,0,0,1.8,13.4,0.2,1.4,0,0,0
0,0,0,0.2,0,0.2,0.4,0,20.8,0,0.4,0.6
0.2,0,0,0,0.2,0.2,0.2,3.8,0.2,12.2,1.4,0
0,0,0,0.6,0,0,1.8,0.2,0.2,0,0.4,0
4.2,0,0,0,0,10.2,2.4,8.2,0.2,1.2,0,0
0,0,0,0,1.6,2.0,0,0.2,0,1.8,0,0
0,0,0,0,1.8,14.2,0,1.6,0,0,0,0
0,0,0,1.6,0.2,5.6,0,5.4,3.2,0,0.4,0
0,0,0.4,0,0,2.6,2.2,0.2,3.0,0.2,0,0
0,0,0.2,0.2,0,0.2,8.2,0.2,1.4,0,0,0
0,0,0.6,0.4,2.8,0.2,0,3.6,0,0,0,0
0,0,0.2,4.0,7.4,0.2,0,0.4,0,8.2,2.0,0
0,0,0,4.2,12.0,0.2,5.2,0.2,0,3.2,0.2,0
0,0,0,0.4,2.0,0,0,0,4.8,5.0,0,0
0,,0,0.4,3.0,1.4,0,10.8,0,0,0,0
5.0,,20.4,0,14.2,11.6,1.0,0.2,0,0,8.2,0
0,,12.2,,9.0,,0.2,0,,0,,4.4
